id,delivered_time,brand,outlet,sku,order_quantity
244,2021-04-19T16:20:07Z,B,YK28,602,1
245,2021-04-19T16:20:07Z,B,YK28,601,1
246,2021-04-19T16:20:07Z,B,YK28,598,1
247,2021-04-19T16:44:01Z,C,YK28,995,1
248,2021-04-19T16:44:01Z,C,YK28,999,1
249,2021-04-19T16:44:01Z,C,YK28,000,1
250,2021-04-20T09:49:15Z,C,YK28,995,2
251,2021-04-20T09:49:15Z,C,YK28,996,1
252,2021-04-20T09:49:15Z,C,YK28,998,1
253,2021-04-20T09:49:15Z,C,YK28,999,2
254,2021-04-20T09:49:15Z,C,YK28,000,2
255,2021-04-20T10:28:21Z,B,YK28,581,1
256,2021-04-20T11:23:56Z,C,YK28,996,2
257,2021-04-20T11:23:56Z,C,YK28,998,2
258,2021-04-20T11:23:56Z,C,YK28,999,1
259,2021-04-20T11:23:56Z,C,YK28,403,1
260,2021-04-20T12:44:32Z,C,YK28,994,6
261,2021-04-20T13:24:54Z,B,YK28,581,1
262,2021-04-20T13:26:33Z,B,YK28,581,1
263,2021-04-20T13:28:34Z,B,YK28,581,1
264,2021-04-20T13:33:16Z,C,YK28,995,6
265,2021-04-20T15:00:44Z,C,YK28,994,4
266,2021-04-20T15:00:44Z,C,YK28,995,2
267,2021-04-20T15:00:44Z,C,YK28,996,5
268,2021-04-20T15:00:44Z,C,YK28,998,5
269,2021-04-20T15:00:44Z,C,YK28,999,5
270,2021-04-20T15:00:44Z,C,YK28,000,5
271,2021-04-20T15:00:44Z,C,YK28,001,5
272,2021-04-20T15:00:44Z,C,YK28,403,5
273,2021-04-20T15:37:30Z,C,YK28,994,3
274,2021-04-20T15:37:30Z,C,YK28,995,3
275,2021-04-20T15:43:29Z,B,YK28,600,1
276,2021-04-20T15:51:14Z,B,YK28,581,-1
277,2021-04-20T15:54:10Z,B,YK28,588,1
278,2021-04-20T16:31:52Z,C,YK28,995,6
279,2021-04-20T17:09:36Z,B,YK28,598,1
280,2021-04-20T18:40:59Z,C,YK28,995,2
281,2021-04-20T19:23:48Z,C,YK28,996,2
282,2021-04-20T19:23:48Z,C,YK28,998,2
283,2021-04-20T19:23:48Z,C,YK28,001,2
284,2021-04-21T10:56:41Z,C,YK28,995,1
285,2021-04-21T10:56:41Z,C,YK28,996,1
286,2021-04-21T10:56:41Z,C,YK28,900,1
287,2021-04-21T11:14:52Z,B,YK28,598,1
288,2021-04-21T11:16:12Z,B,YK28,588,1
289,2021-04-21T12:05:31Z,B,YK28,581,2
290,2021-04-21T12:16:12Z,C,YK28,994,4
291,2021-04-21T12:16:12Z,C,YK28,995,2
292,2021-04-21T12:16:12Z,C,YK28,998,3
293,2021-04-21T12:16:12Z,C,YK28,999,1
294,2021-04-21T13:15:07Z,A,YK28,217,1
295,2021-04-21T13:52:08Z,B,YK28,581,1
296,2021-04-21T14:02:01Z,B,YK28,581,1
297,2021-04-21T15:17:55Z,B,YK28,602,1
298,2021-04-21T15:17:55Z,B,YK28,581,1
299,2021-04-21T15:42:28Z,C,YK28,995,5
300,2021-04-21T15:42:28Z,C,YK28,998,1
301,2021-04-21T15:42:28Z,C,YK28,403,1
302,2021-04-21T15:42:28Z,C,YK28,901,1
303,2021-04-21T16:30:26Z,C,YK28,998,2
304,2021-04-21T16:30:26Z,C,YK28,999,1
305,2021-04-21T16:30:26Z,C,YK28,000,1
306,2021-04-21T16:30:26Z,C,YK28,001,1
307,2021-04-21T16:30:26Z,C,YK28,403,1
308,2021-04-21T18:54:24Z,C,YK28,996,1
309,2021-04-21T18:54:24Z,C,YK28,999,1
310,2021-04-21T18:54:24Z,C,YK28,403,2
311,2021-04-21T19:48:44Z,B,YK28,601,1
312,2021-04-21T19:48:44Z,B,YK28,591,1
313,2021-04-21T19:48:44Z,B,YK28,588,1
314,2021-04-21T19:48:44Z,B,YK28,598,1
315,2021-04-21T19:51:16Z,C,YK28,994,2
316,2021-04-21T19:51:16Z,C,YK28,996,1
317,2021-04-21T19:51:16Z,C,YK28,998,1
318,2021-04-21T19:51:16Z,C,YK28,403,2
319,2021-04-22T09:30:17Z,C,YK28,994,1
320,2021-04-22T09:30:17Z,C,YK28,995,1
321,2021-04-22T09:30:17Z,C,YK28,996,2
322,2021-04-22T09:30:17Z,C,YK28,998,1
323,2021-04-22T09:30:17Z,C,YK28,999,2
324,2021-04-22T09:30:17Z,C,YK28,000,1
325,2021-04-22T11:41:43Z,A,YK28,201,1
326,2021-04-22T12:16:23Z,C,YK28,996,2
327,2021-04-22T12:16:23Z,C,YK28,998,1
328,2021-04-22T12:16:23Z,C,YK28,999,1
329,2021-04-22T12:16:23Z,C,YK28,897,2
330,2021-04-22T13:02:40Z,B,YK28,581,2
331,2021-04-22T13:02:40Z,B,YK28,598,2
332,2021-04-22T13:24:04Z,C,YK28,998,6
333,2021-04-22T14:03:03Z,C,YK28,997,1
334,2021-04-22T15:32:13Z,C,YK28,994,3
335,2021-04-22T15:32:13Z,C,YK28,995,3
336,2021-04-22T15:32:13Z,C,YK28,996,2
337,2021-04-22T16:43:59Z,B,YK28,602,2
338,2021-04-22T16:43:59Z,B,YK28,588,1
339,2021-04-22T16:43:59Z,B,YK28,598,1
340,2021-04-22T16:54:00Z,C,YK28,994,2
341,2021-04-22T16:54:00Z,C,YK28,995,1
342,2021-04-22T16:54:00Z,C,YK28,996,3
343,2021-04-22T18:51:10Z,C,YK28,899,1
344,2021-04-22T18:51:10Z,C,YK28,900,2
345,2021-04-22T18:51:10Z,C,YK28,901,1
346,2021-04-22T19:04:22Z,B,YK28,593,1
347,2021-04-22T19:04:22Z,B,YK28,602,1
348,2021-04-23T09:51:12Z,B,YK28,601,1
349,2021-04-23T09:51:12Z,B,YK28,588,1
350,2021-04-23T09:51:12Z,B,YK28,598,1
351,2021-04-23T11:25:02Z,A,YK28,201,1
352,2021-04-23T12:05:33Z,A,YK28,217,1
353,2021-04-23T12:32:42Z,B,YK28,598,1
354,2021-04-23T12:32:42Z,B,YK28,381,1
355,2021-04-23T12:46:44Z,B,YK28,591,-1
356,2021-04-23T12:46:44Z,B,YK28,601,-1
357,2021-04-23T12:46:44Z,B,YK28,588,-1
358,2021-04-23T12:46:44Z,B,YK28,598,-1
359,2021-04-23T12:56:56Z,B,YK28,598,1
360,2021-04-23T13:52:26Z,B,YK28,581,1
361,2021-04-23T13:59:37Z,B,YK28,598,1
362,2021-04-23T13:59:37Z,B,YK28,381,1
363,2021-04-23T14:04:34Z,C,YK28,994,5
364,2021-04-23T14:04:34Z,C,YK28,995,6
365,2021-04-23T14:04:34Z,C,YK28,997,7
366,2021-04-23T14:04:34Z,C,YK28,998,7
367,2021-04-23T14:50:30Z,B,YK28,598,1
368,2021-04-23T15:17:51Z,C,YK28,996,1
369,2021-04-23T15:17:51Z,C,YK28,997,1
370,2021-04-23T15:17:51Z,C,YK28,997,1
371,2021-04-23T15:17:51Z,C,YK28,998,1
372,2021-04-23T15:17:51Z,C,YK28,999,1
373,2021-04-23T15:17:51Z,C,YK28,000,1
374,2021-04-23T15:17:51Z,C,YK28,403,1
375,2021-04-23T15:17:51Z,C,YK28,897,1
376,2021-04-23T15:17:51Z,C,YK28,899,1
377,2021-04-23T15:17:51Z,C,YK28,900,1
378,2021-04-23T16:01:52Z,C,YK28,994,3
379,2021-04-23T16:01:52Z,C,YK28,995,3
380,2021-04-23T16:07:01Z,A,YK28,217,4
381,2021-04-23T16:16:13Z,B,YK28,598,1
382,2021-04-23T16:25:23Z,A,YK28,217,1
383,2021-04-23T16:50:15Z,C,YK28,995,1
384,2021-04-23T16:50:15Z,C,YK28,997,1
385,2021-04-23T16:50:15Z,C,YK28,899,1
386,2021-04-23T16:50:15Z,C,YK28,901,2
387,2021-04-23T17:04:47Z,C,YK28,899,1
388,2021-04-23T18:23:00Z,B,YK28,598,1
389,2021-04-23T19:44:28Z,C,YK28,995,2
390,2021-04-23T19:44:28Z,C,YK28,000,1
391,2021-04-23T19:44:28Z,C,YK28,001,1
392,2021-04-24T11:56:19Z,B,YK28,598,1
393,2021-04-24T12:28:47Z,A,YK28,217,1
394,2021-04-24T12:29:56Z,A,YK28,217,1
395,2021-04-24T13:36:44Z,B,YK28,581,1
396,2021-04-24T13:36:44Z,B,YK28,598,2
397,2021-04-24T14:14:10Z,C,YK28,994,3
398,2021-04-24T14:14:10Z,C,YK28,995,3
399,2021-04-24T15:07:32Z,C,YK28,994,3
400,2021-04-24T15:07:32Z,C,YK28,995,3
401,2021-04-24T15:09:18Z,C,YK28,994,3
402,2021-04-24T15:09:18Z,C,YK28,995,3
403,2021-04-24T15:09:18Z,C,YK28,996,2
404,2021-04-24T15:09:18Z,C,YK28,998,2
405,2021-04-24T15:09:18Z,C,YK28,000,1
406,2021-04-24T15:09:18Z,C,YK28,403,1
407,2021-04-24T16:39:24Z,C,YK28,994,1
408,2021-04-24T16:39:24Z,C,YK28,998,1
409,2021-04-24T16:39:24Z,C,YK28,999,1
410,2021-04-25T10:19:45Z,C,YK28,994,3
411,2021-04-25T10:19:45Z,C,YK28,995,3
412,2021-04-25T10:24:20Z,C,YK28,403,2
413,2021-04-25T11:22:04Z,B,YK28,598,1
414,2021-04-25T11:22:04Z,B,YK28,381,1
415,2021-04-25T11:53:04Z,B,YK28,598,1
416,2021-04-25T12:36:03Z,A,YK28,217,1
417,2021-04-25T12:57:56Z,B,YK28,581,1
418,2021-04-25T12:57:56Z,B,YK28,598,1
419,2021-04-25T13:08:37Z,A,YK28,217,1
420,2021-04-25T13:44:14Z,C,YK28,996,2
421,2021-04-25T13:44:14Z,C,YK28,999,1
422,2021-04-25T13:44:14Z,C,YK28,403,2
423,2021-04-25T13:44:14Z,C,YK28,897,1
424,2021-04-25T13:44:14Z,C,YK28,900,1
425,2021-04-25T13:44:14Z,C,YK28,901,1
426,2021-04-25T14:00:22Z,C,YK28,994,3
427,2021-04-25T14:00:22Z,C,YK28,995,3
428,2021-04-25T14:40:11Z,B,YK28,598,1
429,2021-04-25T14:40:11Z,B,YK28,381,1
430,2021-04-25T15:01:18Z,C,YK28,994,2
431,2021-04-25T15:01:18Z,C,YK28,995,3
432,2021-04-25T15:01:18Z,C,YK28,997,1
433,2021-04-25T15:01:18Z,C,YK28,998,1
434,2021-04-25T16:35:58Z,C,YK28,996,2
435,2021-04-25T16:35:58Z,C,YK28,997,3
436,2021-04-25T16:35:58Z,C,YK28,998,2
437,2021-04-25T16:35:58Z,C,YK28,999,2
438,2021-04-25T16:35:58Z,C,YK28,899,3
439,2021-04-25T16:59:39Z,C,YK28,995,2
440,2021-04-25T16:59:39Z,C,YK28,996,2
441,2021-04-25T16:59:39Z,C,YK28,998,1
442,2021-04-25T16:59:39Z,C,YK28,000,1
443,2021-04-25T17:23:52Z,C,YK28,995,2
444,2021-04-25T17:23:52Z,C,YK28,997,1
445,2021-04-25T19:25:10Z,B,YK28,581,1
446,2021-04-26T07:51:11Z,A,YK28,217,-1
447,2021-04-26T11:24:14Z,B,YK28,581,1
448,2021-04-26T11:24:14Z,B,YK28,598,1
449,2021-04-26T11:36:58Z,B,YK28,602,1
450,2021-04-26T11:36:58Z,B,YK28,588,1
451,2021-04-26T11:36:58Z,B,YK28,603,1
452,2021-04-26T12:32:54Z,A,YK28,217,1
453,2021-04-26T14:50:52Z,C,YK28,994,2
454,2021-04-26T14:50:52Z,C,YK28,995,1
455,2021-04-26T14:50:52Z,C,YK28,995,6
456,2021-04-26T14:50:52Z,C,YK28,996,6
457,2021-04-26T15:50:56Z,C,YK28,995,6
458,2021-04-26T15:50:56Z,C,YK28,998,1
459,2021-04-26T15:50:56Z,C,YK28,998,2
460,2021-04-26T15:50:56Z,C,YK28,999,1
461,2021-04-26T15:50:56Z,C,YK28,999,2
462,2021-04-26T15:50:56Z,C,YK28,000,1
463,2021-04-26T15:50:56Z,C,YK28,000,2
464,2021-04-26T15:50:56Z,C,YK28,001,2
465,2021-04-26T15:50:56Z,C,YK28,001,1
466,2021-04-26T15:50:56Z,C,YK28,403,1
467,2021-04-26T15:50:56Z,C,YK28,403,2
468,2021-04-26T15:50:56Z,C,YK28,897,1
469,2021-04-26T15:50:56Z,C,YK28,897,2
470,2021-04-26T16:12:02Z,C,YK28,995,4
471,2021-04-26T16:12:02Z,C,YK28,996,2
472,2021-04-26T16:52:01Z,C,YK28,998,1
473,2021-04-26T16:52:01Z,C,YK28,998,3
474,2021-04-26T16:52:01Z,C,YK28,999,3
475,2021-04-26T16:52:01Z,C,YK28,999,1
476,2021-04-26T17:20:20Z,C,YK28,996,1
477,2021-04-26T17:20:20Z,C,YK28,999,2
478,2021-04-26T17:20:20Z,C,YK28,899,1
479,2021-04-26T17:49:52Z,C,YK28,994,6
480,2021-04-26T17:49:52Z,C,YK28,995,6
481,2021-04-26T17:49:52Z,C,YK28,996,1
482,2021-04-26T17:49:52Z,C,YK28,996,1
483,2021-04-26T17:49:52Z,C,YK28,998,1
484,2021-04-26T17:49:52Z,C,YK28,999,1
485,2021-04-26T17:49:52Z,C,YK28,403,1
486,2021-04-26T17:49:52Z,C,YK28,897,1
487,2021-04-26T18:51:39Z,B,YK28,602,1
488,2021-04-26T18:51:39Z,B,YK28,588,1
489,2021-04-26T19:54:28Z,B,YK28,581,1
490,2021-04-26T19:54:28Z,B,YK28,598,1
491,2021-04-27T09:17:37Z,B,YK28,581,1
492,2021-04-27T09:17:37Z,B,YK28,598,1
493,2021-04-27T10:29:14Z,B,YK28,581,1
